categoria_a,categoria_b,pedidos_em_comum
bed_bath_table,furniture_decor,70
bed_bath_table,home_confort,43
furniture_decor,housewares,24
baby,cool_stuff,20
bed_bath_table,housewares,20
baby,toys,19
baby,bed_bath_table,17
furniture_decor,garden_tools,17
health_beauty,sports_leisure,14
housewares,unknown,14
furniture_decor,home_construction,13
baby,furniture_decor,12
health_beauty,perfumery,12
bed_bath_table,health_beauty,11
construction_tools_lights,furniture_decor,11
garden_tools,housewares,11
housewares,sports_leisure,11
bed_bath_table,cool_stuff,10
computers_accessories,garden_tools,9
fashion_bags_accessories,unknown,9
bed_bath_table,unknown,8
cool_stuff,toys,7
furniture_decor,furniture_living_room,7
furniture_decor,watches_gifts,7
garden_tools,home_construction,7
audio,watches_gifts,6
computers_accessories,telephony,6
cool_stuff,telephony,6
furniture_decor,home_confort,6
pet_shop,unknown,6
sports_leisure,unknown,6
stationery,toys,6
art,furniture_decor,5
auto,computers_accessories,5
baby,housewares,5
bed_bath_table,office_furniture,5
computers_accessories,cool_stuff,5
computers_accessories,electronics,5
construction_tools_construction,garden_tools,5
luggage_accessories,stationery,5
sports_leisure,watches_gifts,5
baby,garden_tools,4
bed_bath_table,garden_tools,4
computers_accessories,housewares,4
cool_stuff,furniture_decor,4
costruction_tools_garden,unknown,4
furniture_decor,office_furniture,4
health_beauty,stationery,4
housewares,stationery,4
sports_leisure,toys,4
auto,construction_tools_construction,3
auto,cool_stuff,3
auto,sports_leisure,3
auto,telephony,3
baby,fashion_bags_accessories,3
computers_accessories,sports_leisure,3
construction_tools_lights,sports_leisure,3
drinks,health_beauty,3
food,health_beauty,3
furniture_decor,health_beauty,3
furniture_decor,market_place,3
furniture_decor,sports_leisure,3
furniture_decor,unknown,3
furniture_living_room,office_furniture,3
garden_tools,sports_leisure,3
health_beauty,watches_gifts,3
perfumery,sports_leisure,3
