categoria_ingles,pedidos,media_dias_entrega,media_dias_atraso,percentual_atraso
furniture_mattress_and_upholstery,38,14.41,2.05,13.51
audio,350,13.27,0.96,11.78
home_confort,397,13.46,1.21,9.44
fashion_underwear_beach,121,13.61,0.79,9.40
books_technical,260,10.58,0.52,8.20
baby,2885,12.45,0.88,8.05
office_furniture,1273,20.79,0.93,8.05
christmas_supplies,128,15.67,1.21,8.00
electronics,2550,12.81,0.69,7.63
musical_instruments,628,12.93,0.88,7.53
health_beauty,8836,11.91,0.74,7.52
furniture_living_room,422,13.78,0.81,7.49
bed_bath_table,9417,12.75,0.76,7.43
watches_gifts,5624,12.59,0.70,7.39
construction_tools_construction,748,10.64,0.77,7.34
auto,3897,12.16,0.85,7.30
unknown,1451,12.74,0.82,7.26
dvds_blu_ray,59,12.85,0.46,7.14
furniture_decor,6449,12.84,0.74,7.12
telephony,4199,12.80,0.63,7.11
food,450,9.50,0.89,7.03
industry_commerce_and_business,235,10.65,0.59,6.93
furniture_bedroom,95,13.17,0.53,6.67
construction_tools_lights,244,9.67,0.38,6.61
sports_leisure,7720,12.08,0.68,6.57
perfumery,3162,11.70,0.71,6.54
stationery,2311,12.67,0.80,6.54
garden_tools,3518,13.66,0.70,6.53
books_general_interest,512,11.55,0.42,6.46
computers_accessories,6689,13.15,0.68,6.39
toys,3886,11.63,0.70,6.39
cine_photo,65,10.50,0.17,6.35
costruction_tools_tools,97,12.07,0.33,6.19
home_appliances_2,234,13.86,1.33,6.17
art,202,11.30,0.19,6.15
consoles_games,1062,13.54,0.65,6.09
home_construction,490,13.15,0.74,6.00
cool_stuff,3632,12.31,0.67,5.90
computers,181,13.44,0.62,5.65
fashion_bags_accessories,1864,11.04,0.53,5.60
small_appliances_home_oven_and_coffee,75,9.79,0.26,5.56
fashio_female_clothing,39,11.98,0.22,5.56
housewares,5884,10.87,0.53,5.36
costruction_tools_garden,194,11.84,0.19,5.26
music,38,11.55,0.95,5.26
drinks,297,10.34,0.63,5.23
pet_shop,1710,11.17,0.38,5.09
tablets_printing_image,79,12.96,0.61,5.06
small_appliances,630,10.74,0.41,4.76
fixed_telephony,217,12.67,0.37,4.72
fashion_male_clothing,112,12.90,0.58,4.72
fashion_shoes,240,15.40,0.46,4.68
kitchen_dining_laundry_garden_furniture,248,11.80,0.40,4.56
home_appliances,764,11.22,0.29,4.42
signaling_and_security,140,10.43,0.60,4.35
luggage_accessories,1034,10.62,0.35,4.32
air_conditioning,253,12.19,0.55,4.07
market_place,280,12.12,0.42,4.01
books_imported,53,7.96,0.21,4.00
agro_industry_and_commerce,182,11.58,0.38,3.95
food_drink,227,10.81,0.75,3.62
construction_tools_safety,167,11.86,0.34,2.52
party_supplies,39,9.14,0.00,0.00
