categoria_ingles,pedidos,itens_vendidos,receita_produtos,preco_medio_item,frete_medio_item,ticket_medio_por_pedido
health_beauty,8836,9670,1258681.34,130.16,18.88,142.45
watches_gifts,5624,5991,1205005.68,201.14,16.78,214.26
bed_bath_table,9417,11115,1036988.68,93.30,18.42,110.12
sports_leisure,7720,8641,988048.97,114.34,19.51,127.99
computers_accessories,6689,7827,911954.32,116.51,18.82,136.34
furniture_decor,6449,8334,729762.49,87.56,20.73,113.16
cool_stuff,3632,3796,635290.85,167.36,22.14,174.91
housewares,5884,6964,632248.66,90.79,20.99,107.45
auto,3897,4235,592720.11,139.96,21.88,152.10
garden_tools,3518,4347,485256.46,111.63,22.77,137.94
toys,3886,4117,483946.60,117.55,18.81,124.54
baby,2885,3065,411764.89,134.34,22.30,142.73
perfumery,3162,3419,399124.87,116.74,15.86,126.23
telephony,4199,4545,323667.53,71.21,15.67,77.08
office_furniture,1273,1691,273960.70,162.01,40.55,215.21
stationery,2311,2517,230943.23,91.75,18.59,99.93
computers,181,203,222963.13,1098.34,48.45,1231.84
pet_shop,1710,1947,214315.41,110.07,20.32,125.33
musical_instruments,628,680,191498.88,281.62,27.41,304.93
small_appliances,630,679,190648.58,280.78,23.59,302.62
unknown,1451,1603,179535.28,112.00,17.57,123.73
electronics,2550,2767,160246.74,57.91,16.83,62.84
consoles_games,1062,1137,157465.22,138.49,17.44,148.27
fashion_bags_accessories,1864,2031,152823.54,75.25,15.48,81.99
construction_tools_construction,748,929,144677.59,155.73,22.23,193.42
luggage_accessories,1034,1092,140429.98,128.60,27.88,135.81
home_appliances_2,234,238,113317.74,476.12,44.54,484.26
home_construction,490,604,83088.12,137.56,22.90,169.57
home_appliances,764,771,80171.53,103.98,19.22,104.94
agro_industry_and_commerce,182,212,72530.47,342.12,27.56,398.52
furniture_living_room,422,503,68916.56,137.01,35.72,163.31
fixed_telephony,217,264,59583.00,225.69,17.57,274.58
home_confort,397,434,58572.04,134.96,19.59,147.54
air_conditioning,253,297,55024.96,185.27,22.72,217.49
audio,350,364,50688.50,139.25,15.69,144.82
small_appliances_home_oven_and_coffee,75,76,47445.71,624.29,36.16,632.61
books_general_interest,512,553,46856.88,84.73,16.63,91.52
kitchen_dining_laundry_garden_furniture,248,281,46328.37,164.87,42.70,186.81
construction_tools_lights,244,304,41080.00,135.13,24.95,168.36
construction_tools_safety,167,194,40544.52,208.99,20.20,242.78
industry_commerce_and_business,235,268,39669.61,148.02,29.42,168.81
food,450,510,29393.41,57.63,14.26,65.32
market_place,280,311,28378.47,91.25,17.54,101.35
costruction_tools_garden,194,238,25715.89,108.05,22.32,132.56
art,202,209,24202.64,115.80,19.35,119.82
fashion_shoes,240,262,23562.77,89.93,18.77,98.18
drinks,297,379,22428.70,59.18,15.15,75.52
signaling_and_security,140,199,21509.23,108.09,32.70,153.64
furniture_bedroom,95,109,20028.78,183.75,42.50,210.83
books_technical,260,267,19096.06,71.52,16.04,73.45
costruction_tools_tools,97,103,15903.95,154.41,19.71,163.96
food_drink,227,278,15179.48,54.60,16.22,66.87
fashion_male_clothing,112,132,10797.82,81.80,16.31,96.41
fashion_underwear_beach,121,131,9541.55,72.84,14.63,78.86
christmas_supplies,128,153,8800.82,57.52,21.11,68.76
tablets_printing_image,79,83,7528.41,90.70,14.77,95.30
cine_photo,65,72,6933.46,96.30,17.45,106.67
music,38,38,6034.35,158.80,18.17,158.80
dvds_blu_ray,59,64,5999.39,93.74,20.14,101.68
books_imported,53,60,4639.85,77.33,12.83,87.54
party_supplies,39,43,4485.18,104.31,19.26,115.00
furniture_mattress_and_upholstery,38,38,4368.08,114.95,42.91,114.95
portateis_cozinha_e_preparadores_de_alimentos,14,15,3968.53,264.57,20.65,283.47
fashio_female_clothing,39,48,2803.64,58.41,12.95,71.89
fashion_sport,27,30,2119.51,70.65,19.27,78.50
la_cuisine,13,14,2054.99,146.79,23.83,158.08
arts_and_craftmanship,23,24,1814.01,75.58,15.42,78.87
diapers_and_hygiene,27,39,1567.59,40.19,14.71,58.06
pc_gamer,8,9,1545.95,171.77,14.84,193.24
flowers,29,33,1110.04,33.64,14.81,38.28
home_comfort_2,24,30,760.27,25.34,13.68,31.68
cds_dvds_musicals,12,14,730.00,52.14,16.07,60.83
fashion_childrens_clothes,8,8,569.85,71.23,11.94,71.23
security_and_services,2,2,283.29,141.65,20.61,141.65
