mes_pedido,pedidos,clientes_unicos,receita_produtos,receita_frete,receita_total_com_frete,ticket_medio_produtos,frete_medio_item
2016-09,3,3,267.36,87.39,354.75,89.12,14.57
2016-10,308,305,49507.66,7301.18,56808.84,160.74,20.11
2016-12,1,1,10.90,8.72,19.62,10.90,8.72
2017-01,789,755,120312.87,16875.62,137188.49,152.49,17.67
2017-02,1733,1708,247303.02,38977.60,286280.62,142.70,19.98
2017-03,2641,2601,374344.30,57704.29,432048.59,141.74,19.23
2017-04,2391,2359,359927.23,52495.01,412422.24,150.53,19.56
2017-05,3660,3588,506071.14,80119.81,586190.95,138.27,19.37
2017-06,3217,3154,433038.60,69924.44,502963.04,134.61,19.52
2017-07,3969,3894,498031.48,86940.14,584971.62,125.48,19.24
2017-08,4293,4211,573971.68,94232.92,668204.60,133.70,19.19
2017-09,4243,4170,624401.69,95997.22,720398.91,147.16,19.87
2017-10,4568,4501,664219.43,105092.94,769312.37,145.41,19.75
2017-11,7451,7342,1010271.37,168872.40,1179143.77,135.59,19.49
2017-12,5624,5557,743914.17,119633.06,863547.23,132.27,18.97
2018-01,7220,7120,950030.36,157271.53,1107301.89,131.58,19.16
2018-02,6694,6537,844178.71,142730.25,986908.96,126.11,18.60
2018-03,7188,7096,983213.44,171913.38,1155126.82,136.79,20.92
2018-04,6934,6878,996647.75,163050.29,1159698.04,143.73,20.45
2018-05,6853,6795,996517.68,153264.14,1149781.82,145.41,19.34
2018-06,6160,6121,865124.31,157552.80,1022677.11,140.44,22.26
2018-07,6273,6211,895507.22,163220.81,1058728.03,142.76,23.01
2018-08,6452,6411,854686.33,148622.14,1003308.47,132.47,20.51
2018-09,1,1,145.00,21.46,166.46,145.00,21.46
