mes_pedido,pedidos,pedidos_entregues,clientes
2016-09,4,1,4
2016-10,324,265,324
2016-12,1,1,1
2017-01,800,750,800
2017-02,1780,1653,1780
2017-03,2682,2546,2682
2017-04,2404,2303,2404
2017-05,3700,3546,3700
2017-06,3245,3135,3245
2017-07,4026,3872,4026
2017-08,4331,4193,4331
2017-09,4285,4150,4285
2017-10,4631,4478,4631
2017-11,7544,7289,7544
2017-12,5673,5513,5673
2018-01,7269,7069,7269
2018-02,6728,6555,6728
2018-03,7211,7003,7211
2018-04,6939,6798,6939
2018-05,6873,6749,6873
2018-06,6167,6099,6167
2018-07,6292,6159,6292
2018-08,6512,6351,6512
2018-09,16,0,16
2018-10,4,0,4
