categoria_ingles,pedidos,itens_vendidos,receita_produtos,receita_frete,ticket_medio_pedido_categoria,frete_medio_item
health_beauty,8836,9670,1258681.34,182566.73,142.45,18.88
watches_gifts,5624,5991,1205005.68,100535.93,214.26,16.78
bed_bath_table,9417,11115,1036988.68,204693.04,110.12,18.42
sports_leisure,7720,8641,988048.97,168607.51,127.99,19.51
computers_accessories,6689,7827,911954.32,147318.08,136.34,18.82
furniture_decor,6449,8334,729762.49,172749.30,113.16,20.73
cool_stuff,3632,3796,635290.85,84039.10,174.91,22.14
housewares,5884,6964,632248.66,146149.11,107.45,20.99
auto,3897,4235,592720.11,92664.21,152.10,21.88
garden_tools,3518,4347,485256.46,98962.75,137.94,22.77
toys,3886,4117,483946.60,77425.95,124.54,18.81
baby,2885,3065,411764.89,68353.11,142.73,22.30
perfumery,3162,3419,399124.87,54213.84,126.23,15.86
telephony,4199,4545,323667.53,71215.79,77.08,15.67
office_furniture,1273,1691,273960.70,68571.95,215.21,40.55
stationery,2311,2517,230943.23,46798.48,99.93,18.59
computers,181,203,222963.13,9836.30,1231.84,48.45
pet_shop,1710,1947,214315.41,39561.24,125.33,20.32
musical_instruments,628,680,191498.88,18638.49,304.93,27.41
small_appliances,630,679,190648.58,16020.25,302.62,23.59
unknown,1451,1603,179535.28,28169.81,123.73,17.57
electronics,2550,2767,160246.74,46578.32,62.84,16.83
consoles_games,1062,1137,157465.22,19828.02,148.27,17.44
fashion_bags_accessories,1864,2031,152823.54,31450.00,81.99,15.48
construction_tools_construction,748,929,144677.59,20650.41,193.42,22.23
luggage_accessories,1034,1092,140429.98,30445.23,135.81,27.88
home_appliances_2,234,238,113317.74,10600.18,484.26,44.54
home_construction,490,604,83088.12,13832.24,169.57,22.90
home_appliances,764,771,80171.53,14818.90,104.94,19.22
agro_industry_and_commerce,182,212,72530.47,5843.60,398.52,27.56
furniture_living_room,422,503,68916.56,17968.17,163.31,35.72
fixed_telephony,217,264,59583.00,4637.81,274.58,17.57
home_confort,397,434,58572.04,8501.23,147.54,19.59
air_conditioning,253,297,55024.96,6749.23,217.49,22.72
audio,350,364,50688.50,5710.44,144.82,15.69
small_appliances_home_oven_and_coffee,75,76,47445.71,2747.86,632.61,36.16
books_general_interest,512,553,46856.88,9195.52,91.52,16.63
kitchen_dining_laundry_garden_furniture,248,281,46328.37,11999.43,186.81,42.70
construction_tools_lights,244,304,41080.00,7583.80,168.36,24.95
construction_tools_safety,167,194,40544.52,3919.10,242.78,20.20
industry_commerce_and_business,235,268,39669.61,7884.68,168.81,29.42
food,450,510,29393.41,7271.03,65.32,14.26
market_place,280,311,28378.47,5456.06,101.35,17.54
costruction_tools_garden,194,238,25715.89,5311.40,132.56,22.32
art,202,209,24202.64,4045.17,119.82,19.35
fashion_shoes,240,262,23562.77,4918.87,98.18,18.77
drinks,297,379,22428.70,5741.25,75.52,15.15
signaling_and_security,140,199,21509.23,6507.82,153.64,32.70
furniture_bedroom,95,109,20028.78,4632.23,210.83,42.50
books_technical,260,267,19096.06,4283.06,73.45,16.04
costruction_tools_tools,97,103,15903.95,2030.22,163.96,19.71
food_drink,227,278,15179.48,4507.99,66.87,16.22
fashion_male_clothing,112,132,10797.82,2152.41,96.41,16.31
fashion_underwear_beach,121,131,9541.55,1916.19,78.86,14.63
christmas_supplies,128,153,8800.82,3229.30,68.76,21.11
tablets_printing_image,79,83,7528.41,1226.20,95.30,14.77
cine_photo,65,72,6933.46,1256.20,106.67,17.45
music,38,38,6034.35,690.51,158.80,18.17
dvds_blu_ray,59,64,5999.39,1288.74,101.68,20.14
books_imported,53,60,4639.85,769.85,87.54,12.83
party_supplies,39,43,4485.18,827.97,115.00,19.26
furniture_mattress_and_upholstery,38,38,4368.08,1630.46,114.95,42.91
portateis_cozinha_e_preparadores_de_alimentos,14,15,3968.53,309.76,283.47,20.65
fashio_female_clothing,39,48,2803.64,621.75,71.89,12.95
fashion_sport,27,30,2119.51,578.13,78.50,19.27
la_cuisine,13,14,2054.99,333.55,158.08,23.83
arts_and_craftmanship,23,24,1814.01,370.13,78.87,15.42
diapers_and_hygiene,27,39,1567.59,573.68,58.06,14.71
pc_gamer,8,9,1545.95,133.57,193.24,14.84
flowers,29,33,1110.04,488.87,38.28,14.81
home_comfort_2,24,30,760.27,410.31,31.68,13.68
cds_dvds_musicals,12,14,730.00,224.99,60.83,16.07
fashion_childrens_clothes,8,8,569.85,95.51,71.23,11.94
security_and_services,2,2,283.29,41.22,141.65,20.61
