estado_cliente,pedidos,clientes_unicos,receita_produtos,receita_frete,ticket_medio_produtos
SP,41375,39981,5202955.05,718723.07,125.75
RJ,12762,12303,1824092.67,305589.31,142.93
MG,11544,11178,1585308.03,270853.46,137.33
RS,5432,5249,750304.02,135522.74,138.13
PR,4998,4840,683083.76,117851.68,136.67
SC,3612,3513,520553.34,89660.26,144.12
BA,3358,3257,511349.99,100156.68,152.28
DF,2125,2062,302603.94,50625.50,142.40
GO,2007,1942,294591.95,53114.98,146.78
ES,2025,1956,275037.31,49764.60,135.82
PE,1648,1605,262788.03,59449.66,159.46
CE,1327,1305,227254.71,48351.59,171.25
PA,970,944,178947.81,38699.30,184.48
MT,903,873,156453.53,29715.43,173.26
MA,740,719,119648.22,31523.77,161.69
MS,709,688,116812.64,19144.03,164.76
PB,532,516,115268.08,25719.73,216.67
PI,493,481,86914.08,21218.20,176.30
RN,482,471,83034.98,18860.10,172.27
AL,411,399,80314.81,15914.59,195.41
SE,345,338,58920.85,14111.47,170.79
TO,279,272,49621.74,11732.68,177.86
RO,247,235,46140.64,11417.38,186.80
AM,147,142,22356.84,5478.89,152.09
AC,81,77,15982.95,3686.75,197.32
AP,68,67,13474.30,2788.50,198.15
RR,46,45,7829.43,2235.19,170.21
